"X","Y","Día"
451440.488967957,2088240.03965703,59
448813.754040702,2102235.22099811,71
446654.877641918,2089556.34006054,119
453663.150735399,2093769.95686537,139
442786.16763133,2175649.17953937,116
443360.722728324,2189646.05274657,125
435557.426667411,2178388.13756074,154
441804.554400975,2178216.00978908,160
466538.811378489,2153285.37928435,72
460795.763983996,2123564.76776922,83
464038.346491428,2152248.18590342,88
456123.942828832,2172844.91410336,76
452390.119272226,2171692.55569329,80
453493.738904183,2170512.36293776,82
384442.329911907,2173386.1942699,83
466748.303857754,2165672.30512066,83
454277.899114522,2173058.56659353,83
452314.565085302,2173936.67933436,87
458594.297793174,2169571.52775656,88
452430.430986242,2166039.63203771,89
457869.536495489,2168543.48571203,89
452428.644845951,2167561.19103016,90
454260.45803902,2173070.90668852,92
454540.650206259,2167589.51765648,92
452007.738191146,2170285.74979529,92
460517.751387506,2166106.05814809,92
460539.340951492,2167971.8178576,96
458036.225023774,2167580.98554829,96
454702.945461355,2167260.20554973,109
457569.756992058,2171101.62581201,110
457951.247741248,2177266.86485163,113
452433.386985071,2168249.72091659,114
459116.453791772,2167366.393059,116
457988.384926869,2168297.29992031,117
461119.858240356,2165677.48191328,118
455400.089700027,2178127.60204494,118
453580.313297423,2167957.76875097,118
460841.644280613,2167679.14136274,119
455846.816324935,2157390.38780148,120
453803.664295594,2170975.71151117,121
455781.868476165,2170060.85118913,122
463168.457017344,2167366.82346192,122
455268.752200465,2172189.23066602,124
453338.40927304,2153317.77234113,125
461121.267437408,2167669.31064356,125
453386.317658051,2171760.62837741,126
454118.184063249,2173234.18620045,127
452471.678834806,2168409.45949654,128
454947.151131397,2171692.07452016,129
454392.095845289,2167592.96920894,129
452467.550721072,2166854.1026692,130
453569.163781929,2168151.4499748,131
457531.895634961,2169875.25405575,131
452740.781475494,2167729.42627289,131
452726.216639682,2167729.46471707,133
459112.995824274,2165851.00713684,140
456031.465219585,2174434.32404429,141
459173.538931911,2168128.57130234,141
456702.35353352,2173710.32845007,143
455800.835164563,2165944.93593766,150
458285.827609089,2164684.86154342,156
461049.142934626,2128734.17468934,67
454911.005495676,2131523.87207778,69
458372.015131657,2133771.75317005,91
457803.146420933,2128824.37690307,105
455261.075902086,2133825.23447903,109
459552.176809308,2126370.68001045,113
428145.393987346,2121266.20114497,127
459789.862700491,2129566.80418075,149
456876.485692766,2102131.69249696,60
454155.000105936,2098701.90576538,65
459565.108123214,2097662.7332098,65
462586.604924306,2098071.33013411,72
462758.034323988,2097526.95803463,83
406709.244323529,2100801.1079219,83
455795.986161316,2096500.28086485,97
453047.984970936,2098019.25493203,100
462976.785561388,2098709.8561722,110
452275.364294766,2100040.60878417,113
452338.108058675,2098288.47184148,114
453284.864889819,2103824.76782376,117
453120.237905722,2095366.52899578,119
452504.541227934,2101616.80009433,119
481722.797066497,2208392.34949368,121
458672.462797066,2090739.87404408,122
463195.059059135,2105545.13289325,123
449142.148681257,2099391.1807764,124
458774.157522045,2094388.00833455,132
453926.430191299,2098502.68612359,139
450830.140028401,2096411.33945621,141
458799.16432886,2096431.90055579,156
460924.475718481,2097484.62488515,157
459299.338037576,2096479.97496104,157
375926.124868247,2115919.38202827,85
532250.120118709,2175036.361174,127
402900.767524202,2162486.00594026,121
395207.746508662,2164561.30919466,121
404607.487514986,2167779.73809011,124
453512.336463111,2164210.93365353,113
391172.167658428,2207309.1164478,113
393559.722792404,2094167.5606743,121
402778.829756977,2210893.27858542,130
402655.647130313,2112828.89261906,146
416236.352138763,2084095.46306177,61
391278.507291311,2074627.04257917,149
391275.294354352,2074577.87764008,151
402075.079500357,2083647.90302884,152
396128.980026867,2179170.82587851,140
500931.542516498,2178867.90865362,141
382818.77131351,2090521.72495645,101
374636.782761595,2102472.17221813,113
380625.310669576,2147260.97642886,117
390895.897502074,2202606.10814486,119
392026.033936863,2093005.20400336,120
379029.57283021,2092740.89093337,121
380917.380594991,2098803.20216602,132
388532.884368854,2203676.35382439,117
393216.216783553,2197802.9752751,118
394742.956746266,2195817.0145938,121
399923.236049843,2199365.35622177,144
400083.684850122,2199453.60024964,145
399408.657843028,2119679.90686367,53
404633.475153279,2115560.52820954,75
400305.379746474,2113748.30207701,83
403244.062198885,2108021.16628834,85
393314.978545577,2109053.4406739,92
383423.507436182,2108974.96311287,95
379177.357695386,2110895.98987835,97
400774.168153128,2113441.4417559,97
403507.929759099,2109851.87058013,98
395719.289534092,2118646.10076331,99
403385.737274663,2114970.68874691,102
412135.331221817,2117807.07225372,105
378520.924580748,2110629.77490635,107
401679.664041521,2121564.2665232,109
405299.028986581,2112664.48158191,109
388863.172472338,2105114.1450624,114
387690.92715914,2106569.13164401,114
400925.309408218,2110031.56226697,115
455870.925291997,2120480.76290056,116
384817.052773675,2105584.66410968,119
397067.99328689,2115874.91819854,119
400108.031158759,2117223.01230634,121
376506.537149097,2104417.87122904,125
376506.557679605,2104420.94529951,127
398251.520820252,2132729.55207475,134
401034.833264555,2109200.99622437,138
402540.607386299,2107649.84274465,139
401537.787335636,2116895.59606319,142
396483.314021994,2108014.81167387,142
402681.042361485,2116523.69878697,142
387941.504297429,2108359.81152938,143
398379.877421439,2114825.52228102,149
390140.177661506,2106495.99375143,151
395491.114655383,2112422.43103469,152
373085.605920888,2112046.74336582,153
373060.209208259,2108357.80396882,154
433707.510930061,2102965.53066909,72
437407.800280569,2097533.685187,77
441810.902215652,2102839.91402518,85
427694.251875015,2081225.93585233,85
436768.533175741,2101301.15373886,90
436886.93759311,2100870.42909852,90
436653.468925529,2100997.24860397,91
436715.014209965,2101040.0702959,91
434426.31508972,2101210.93980572,92
433951.31402824,2100010.79770839,93
435668.128986335,2100146.14939077,93
435575.923849663,2083640.7065207,93
435795.071815067,2098808.64066138,98
434854.520194629,2097431.82026065,115
441263.117803111,2091404.46297048,119
440963.215229063,2101041.41036178,119
447305.945945156,2103515.02667703,120
436676.900674914,2092436.89317356,130
436524.702373045,2092409.74860522,131
434574.942963831,2102728.83912892,144
438022.216116711,2091488.74089993,145
444507.209825643,2114797.56318126,150
443872.701070901,2100202.47044555,153
444422.987675484,2100403.67454189,154
444178.111955512,2100644.15785211,154
436885.825983296,2101402.18638925,155
443858.494215454,2109961.49928301,61
441799.796547516,2106740.48112465,69
433591.250700198,2111280.45720137,75
426938.546991188,2109341.47565924,79
442572.680173541,2110899.87000203,121
442692.573677358,2110927.1602432,123
434733.601345793,2102952.66164144,133
422430.023669929,2162944.3351172,117
525751.473900527,2162650.74001003,143
461243.872000253,2183868.19330582,81
404059.075197061,2092115.43104929,123
521674.749070162,2150882.15395449,63
527645.906547964,2158537.78757901,84
523069.110745244,2152626.68447795,113
518227.308806601,2149141.69741355,119
519083.684027909,2149997.07353214,120
517163.771120414,2151399.83459519,125
522107.259861623,2150068.14217476,132
522671.01018773,2158540.05136736,152
525926.340086467,2156558.80554802,153
521192.387283762,2149489.18697199,154
522366.54957387,2157291.73003948,158
457440.274625708,2112082.85190808,58
460726.045272237,2123733.96981265,75
460341.684157375,2122886.46148015,89
451901.62831458,2111466.3796239,113
457670.469359719,2124475.39300424,126
421533.683354042,2189673.96006784,125
527594.852473268,2113357.56315185,71
527726.756136239,2115011.37037245,116
529623.32847445,2125498.53299901,117
531206.489771551,2123395.70673662,122
523879.525470712,2114824.62865577,131
527331.348747422,2127446.73807417,132
533801.602178731,2128585.60186195,138
482080.914863257,2162923.99876731,131
420845.441591253,2116897.55944869,116
421838.57898752,2123723.44237562,117
426390.151296713,2121276.23917628,125
427569.820395019,2120472.34352008,69
419801.270777381,2084187.40273576,56
431733.346607172,2077199.60783346,65
426942.967026613,2079965.55719053,81
484387.003946426,2167839.85495831,130
435265.801743665,2116309.32757779,130
483307.091294669,2165535.50774032,130
483860.166671173,2165043.20017099,130
484302.744075823,2204264.70064301,131
376445.000206137,2114867.57069235,57
380806.639140076,2120120.26953948,58
386500.053095713,2120133.34445009,63
380952.481135793,2118735.92884599,73
387200.618621919,2118625.76544441,76
385456.304365879,2118584.30595323,76
385812.546845415,2125120.84048801,79
394358.382934443,2117193.69647933,79
387524.481435892,2120941.6831661,84
379757.872538695,2116542.57754022,86
380683.576731634,2119613.8246049,87
374672.704398142,2123628.94183889,87
394791.355281809,2118316.32167287,89
383883.388239986,2112378.2228973,91
395022.949783697,2117435.81218075,91
384951.471575407,2113072.42491926,94
384668.827019803,2112736.0368879,96
384573.030245691,2112838.08419049,96
388769.668874796,2123968.26408463,100
398964.301473508,2123325.09298986,100
375588.236310307,2129835.83071284,106
388336.29421368,2124259.87239613,108
380318.25305682,2119588.53598553,113
389168.611906476,2121362.04990193,117
389197.819858408,2121361.87333523,118
381142.535287927,2130004.79278059,118
389759.462539955,2121499.89707363,119
389395.829152788,2123195.93580073,119
390752.889036601,2118121.64619852,120
389431.838648668,2118996.4562161,120
388103.322679428,2119105.95426567,120
392859.379908382,2119151.3508578,121
386762.707202592,2123402.6251022,122
388643.062935584,2117064.52412247,123
387735.851720701,2119683.06285079,123
390893.548466252,2120650.80362184,124
388256.028233055,2120675.90826854,124
387088.089253328,2118853.94401414,125
378019.54204899,2125343.29397332,126
391918.252253966,2121050.51761173,127
382893.324521487,2118440.61922938,128
384602.154644202,2116548.40921186,128
385584.040822063,2125472.72453546,129
383659.293258357,2118989.10147731,132
383692.555842669,2118706.06621164,132
378944.234559861,2130910.77705076,136
385180.686682097,2117021.27982435,138
387362.37385498,2120229.47585517,141
381498.205610214,2129024.87375028,141
390216.093338637,2122637.65728534,142
386165.315722076,2112778.98428391,143
383216.956823958,2118798.23711079,145
392343.392087081,2115345.57101802,145
392291.491812073,2113467.61004179,146
372936.493298153,2125122.72355963,148
374687.6652371,2118980.52979249,148
394920.49676138,2116378.91887599,149
385635.731097475,2113145.01487999,151
383937.939187438,2121935.47725632,152
392204.391842698,2121528.39345969,153
396016.526461733,2116452.61020669,154
393594.715296945,2118003.51327881,155
383344.626815688,2122793.87004262,155
381177.027804703,2124981.2752679,156
384357.729920772,2139769.38625139,74
394468.321950414,2147264.09188936,91
377743.180386745,2153684.06633269,121
379041.014924307,2155031.09758028,144
377065.770282047,2151834.83697555,149
471336.010997454,2179763.91944782,79
446462.403507184,2176191.0686401,84
446978.339417047,2177363.75739124,85
454328.917747664,2178197.9412077,86
453770.728243281,2175128.58276346,87
442605.260692784,2182756.68570054,88
445263.687120409,2176477.50738825,89
445236.540763922,2174273.60088218,89
454377.497881274,2175566.58365168,90
456153.613935949,2183830.8459724,95
485249.640799939,2178929.32151991,100
448184.863741857,2183769.30612575,109
445847.103714145,2173961.27431201,110
447449.608435929,2182163.80652443,110
453507.162220497,2173432.49373352,113
453738.136880443,2173788.461921,115
444857.386127525,2175021.72700174,115
443006.910468287,2179118.93063033,115
454293.888450791,2156472.12132764,115
452659.259784991,2179825.31072043,116
447524.888872764,2174122.25373534,117
455304.326509513,2178250.79688445,118
445367.586949433,2174276.27319615,119
455164.927250904,2178386.39755188,121
455365.235390624,2175834.58462364,121
448382.745288123,2180753.22235017,124
446788.591463892,2182064.33327411,125
454392.422993394,2171149.40947285,126
446796.028222499,2175784.31535454,127
456153.386331805,2183738.62998281,130
444319.128890819,2176093.11925674,132
447104.73875314,2175807.98832005,139
436347.310302897,2181898.83922342,151
442413.948150918,2181201.89133885,152
445015.491859058,2177191.4183158,153
450626.607177065,2166911.33720307,154
429829.447957269,2094059.80408064,65
426642.302690849,2097274.96959323,86
426610.608791712,2097394.97184724,86
428220.900222532,2095612.04247014,114
433054.603074718,2086458.92354263,116
423523.97897538,2098477.11485257,120
432869.42493878,2102421.42545058,123
427227.734448803,2092935.5932954,149
428382.571252394,2098854.2314349,157
390871.617937933,2160209.44118848,84
402640.45082286,2162847.09022756,89
382148.542698609,2134326.79261998,97
376521.096529053,2162131.54740681,99
454534.532436653,2149020.63230845,71
452135.224520212,2152537.10476224,83
416206.138327631,2121335.33207548,55
417130.916796507,2112678.1271153,89
412168.812647308,2117478.0017764,113
408301.425353005,2126906.32990419,125
438736.587912355,2090785.57678429,69
441404.976251782,2079745.66298997,80
436692.746541399,2088493.29680312,88
439642.265141347,2084091.25217323,100
443492.026848528,2075878.78651817,102
406393.06704589,2082694.39413271,121
437315.304565494,2110787.9062033,122
440363.44167942,2088155.38371562,130
350177.169204016,2077526.36932017,151
388795.621643331,2170422.60465086,65
371114.88120776,2165001.09985401,82
460579.679814649,2123565.23172544,83
386754.430353244,2168252.65568625,96
375746.819828608,2167320.33142502,97
375744.064215104,2158078.71364496,109
376250.380051344,2162179.52660642,110
376226.895827905,2162155.09332507,113
375747.03307798,2167351.07405982,118
388723.726115739,2162125.57678773,122
